{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':2.2694480175782399e+01, 'y':0.0000000000000000e+00, 'z':0.0000000000000000e+00, 'p1':-2.8551579309220456e-04, 'p2':2.2510739735550561e-01, 'p3':-1.0641423116780697e-04, 'S1x':4.4444444444444444e-03, 'S1y':-8.8888888888888906e-03, 'S1z':-1.3333333333333334e-02, 'S2x':4.4444444444444444e-03, 'S2y':-5.5555555555555558e-03, 'S2z':6.6666666666666671e-03,'Hreal':9.9528727008298645e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.9309951753517471e+01, 'y':1.1893093063833257e+01, 'z':1.4589091531233623e-03, 'p1':-1.1834167526641230e-01, 'p2':1.9160354830955012e-01, 'p3':-8.7739872996620680e-05, 'S1x':4.5828739488366415e-03, 'S1y':-8.8177259540046238e-03, 'S1z':-1.3333723607667106e-02, 'S2x':4.6000620682320453e-03, 'S2y':-5.4283021060066361e-03, 'S2z':6.6659353139181645e-03,'Hreal':9.9528438711718492e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.8472666195861873e+01, 'y':1.3152729353799222e+01, 'z':1.7232955165295773e-03, 'p1':-1.3085673556597166e-01, 'p2':1.8329848693884015e-01, 'p3':-8.8621775524480887e-05, 'S1x':4.5995461429461674e-03, 'S1y':-8.8090440987221852e-03, 'S1z':-1.3333721431850260e-02, 'S2x':4.6186146317102536e-03, 'S2y':-5.4125442237145435e-03, 'S2z':6.6659202144251093e-03,'Hreal':9.9528403825058787e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.7553234061262611e+01, 'y':1.4353803305816744e+01, 'z':1.9788295354114267e-03, 'p1':-1.4279238491773488e-01, 'p2':1.7417600354802198e-01, 'p3':-9.0220150461864485e-05, 'S1x':4.6162143907028871e-03, 'S1y':-8.8003414548285565e-03, 'S1z':-1.3333707843431785e-02, 'S2x':4.6371070100079655e-03, 'S2y':-5.3967052689148486e-03, 'S2z':6.6659237329260808e-03,'Hreal':9.9528368923593713e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.6519391214172977e+01, 'y':1.5529605931651862e+01, 'z':2.2251710768555972e-03, 'p1':-1.5447940686926218e-01, 'p2':1.6391563530440811e-01, 'p3':-9.2618660539685069e-05, 'S1x':4.6334644514293951e-03, 'S1y':-8.7913104956234382e-03, 'S1z':-1.3333682042983304e-02, 'S2x':4.6561822072896534e-03, 'S2y':-5.3802272796544589e-03, 'S2z':6.6659470495012835e-03,'Hreal':9.9528332782869211e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.5319385921700359e+01, 'y':1.6711678514653251e+01, 'z':2.4593130455708703e-03, 'p1':-1.6623152847271577e-01, 'p2':1.5200311059164709e-01, 'p3':-9.6021853908789728e-05, 'S1x':4.6520212360073952e-03, 'S1y':-8.7815666138675273e-03, 'S1z':-1.3333641516946054e-02, 'S2x':4.6766271311652827e-03, 'S2y':-5.3624069768360618e-03, 'S2z':6.6659941858498656e-03,'Hreal':9.9528293883922236e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.3917340962186556e+01, 'y':1.7893245128724885e+01, 'z':2.6651984165765208e-03, 'p1':-1.7798181186828549e-01, 'p2':1.3808129051575482e-01, 'p3':-1.0065448765095911e-04, 'S1x':4.6722204563214376e-03, 'S1y':-8.7709247479787616e-03, 'S1z':-1.3333583349921080e-02, 'S2x':4.6987886063626239e-03, 'S2y':-5.3429033842980018e-03, 'S2z':6.6660706157150784e-03,'Hreal':9.9528251521393907e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.2424315235273541e+01, 'y':1.8957696558983248e+01, 'z':2.8067030803143682e-03, 'p1':-1.8857068463041260e-01, 'p2':1.2325226069647524e-01, 'p3':-1.0619484099641017e-04, 'S1x':4.6924211071295106e-03, 'S1y':-8.7602427919968879e-03, 'S1z':-1.3333511925036207e-02, 'S2x':4.7208509514539065e-03, 'S2y':-5.3232930531774058e-03, 'S2z':6.6661717468909434e-03,'Hreal':9.9528209137503265e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.0850056169877931e+01, 'y':1.9898037494480324e+01, 'z':2.8708148637690560e-03, 'p1':-1.9792816679777808e-01, 'p2':1.0761258763495540e-01, 'p3':-1.1256627782550770e-04, 'S1x':4.7126241158357259e-03, 'S1y':-8.7495174620548250e-03, 'S1z':-1.3333428966341517e-02, 'S2x':4.7428124561711173e-03, 'S2y':-5.3035801672260512e-03, 'S2z':6.6662955087711702e-03,'Hreal':9.9528166732320911e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':9.2048484302645175e+00, 'y':2.0708081389905583e+01, 'z':2.8453761109314183e-03, 'p1':-2.0599228518904533e-01, 'p2':9.1264233661572228e-02, 'p3':-1.1967746083180211e-04, 'S1x':4.7328298722120361e-03, 'S1y':-8.7387453458383103e-03, 'S1z':-1.3333336456330178e-02, 'S2x':4.7646720391592177e-03, 'S2y':-5.2837690625737524e-03, 'S2z':6.6664393230181042e-03,'Hreal':9.9528124306034826e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':7.7169870958762656e+00, 'y':2.1305245208147433e+01, 'z':2.7410031255221119e-03, 'p1':-2.1193989946336042e-01, 'p2':7.6476280087708542e-02, 'p3':-1.2641751707898364e-04, 'S1x':4.7504950569517224e-03, 'S1y':-8.7292877647661051e-03, 'S1z':-1.3333249480535150e-02, 'S2x':4.7836969456133902e-03, 'S2y':-5.2663739913026610e-03, 'S2z':6.6665791010897119e-03,'Hreal':9.9528087201674209e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':6.1905600674298942e+00, 'y':2.1795739143396588e+01, 'z':2.5529245830169037e-03, 'p1':-2.1682784671986441e-01, 'p2':6.1302084467713874e-02, 'p3':-1.3356436925799611e-04, 'S1x':4.7681617725143380e-03, 'S1y':-8.7197895084961188e-03, 'S1z':-1.3333158444834247e-02, 'S2x':4.8026437380042633e-03, 'S2y':-5.2489101218368946e-03, 'S2z':6.6667296370484111e-03,'Hreal':9.9528050081358477e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':4.6332016016875306e+00, 'y':2.2177084397778028e+01, 'z':2.2751425507565523e-03, 'p1':-2.2063113003436710e-01, 'p2':4.5817466056548774e-02, 'p3':-1.4103281333007915e-04, 'S1x':4.7858292493798311e-03, 'S1y':-8.7102483646465528e-03, 'S1z':-1.3333064977654064e-02, 'S2x':4.8215128987112036e-03, 'S2y':-5.2313802746990932e-03, 'S2z':6.6668884934315970e-03,'Hreal':9.9528012945168731e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':3.2799067639304029e+00, 'y':2.2415554531975797e+01, 'z':1.9617614293844046e-03, 'p1':-2.2301235986078721e-01, 'p2':3.2359499015986837e-02, 'p3':-1.4761966643702163e-04, 'S1x':4.8009692718088597e-03, 'S1y':-8.7020363213487703e-03, 'S1z':-1.3332984204200626e-02, 'S2x':4.8376217649690537e-03, 'S2y':-5.2163075412828457e-03, 'S2z':6.6670293001192147e-03,'Hreal':9.9527981108637187e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':1.9145933473813797e+00, 'y':2.2571548110494156e+01, 'z':1.5759025499336662e-03, 'p1':-2.2457347926272392e-01, 'p2':1.8779872322401123e-02, 'p3':-1.5431479803760731e-04, 'S1x':4.8161082277259973e-03, 'S1y':-8.6937900064462097e-03, 'S1z':-1.3332903912465289e-02, 'S2x':4.8536749525003283e-03, 'S2y':-5.2011899216047467e-03, 'S2z':6.6671726578556179e-03,'Hreal':9.9527949260580817e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':7.8402755869266927e-01, 'y':2.2637682763091249e+01, 'z':1.2018328573169331e-03, 'p1':-2.2523916414173470e-01, 'p2':7.5334832767296068e-03, 'p3':-1.5986846255491534e-04, 'S1x':4.8285819738847404e-03, 'S1y':-8.6869680784476683e-03, 'S1z':-1.3332838842568065e-02, 'S2x':4.8668623434788153e-03, 'S2y':-5.1886995732727554e-03, 'S2z':6.6672915087563666e-03,'Hreal':9.9527923007656161e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-3.4846470366061078e-01, 'y':2.2647231929343192e+01, 'z':7.7596543672582075e-04, 'p1':-2.2534190921983704e-01, 'p2':-3.7335068921788683e-03, 'p3':-1.6541589893160342e-04, 'S1x':4.8410537108612289e-03, 'S1y':-8.6801215335910453e-03, 'S1z':-1.3332775367755576e-02, 'S2x':4.8800131024887075e-03, 'S2y':-5.1761804996307507e-03, 'S2z':6.6674099881113488e-03,'Hreal':9.9527896746965072e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.4800525506802451e+00, 'y':2.2600163342376295e+01, 'z':2.9752140112618492e-04, 'p1':-2.2488126939909270e-01, 'p2':-1.4992927155364310e-02, 'p3':-1.7091949748647366e-04, 'S1x':4.8535227659028974e-03, 'S1y':-8.6732498575274510e-03, 'S1z':-1.3332714035264738e-02, 'S2x':4.8931278690190162e-03, 'S2y':-5.1636333847936856e-03, 'S2z':6.6675271517750868e-03,'Hreal':9.9527870478552183e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.6804248544715996e+00, 'y':2.2487974816832288e+01, 'z':-2.7013009932755079e-04, 'p1':-2.2377300196176589e-01, 'p2':-2.6938316598100774e-02, 'p3':-1.7668666825707165e-04, 'S1x':4.8667919494404443e-03, 'S1y':-8.6659070442700603e-03, 'S1z':-1.3332651690392038e-02, 'S2x':4.9070493842241717e-03, 'S2y':-5.1502472223109415e-03, 'S2z':6.6676493822520133e-03,'Hreal':9.9527842508145248e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-3.9689986131823902e+00, 'y':2.2295102740403962e+01, 'z':-9.5162067858015151e-04, 'p1':-2.2186220485711886e-01, 'p2':-3.9763220920480666e-02, 'p3':-1.8276026852672025e-04, 'S1x':4.8811267297708908e-03, 'S1y':-8.6579384566673225e-03, 'S1z':-1.3332588398538977e-02, 'S2x':4.9220506224488605e-03, 'S2y':-5.1357463991751739e-03, 'S2z':6.6677773649236605e-03,'Hreal':9.9527812270397198e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-5.3296694200347767e+00, 'y':2.2007856366261944e+01, 'z':-1.7568989134401263e-03, 'p1':-2.1901231191632090e-01, 'p2':-5.3307714120247408e-02, 'p3':-1.8899426846533124e-04, 'S1x':4.8964189617851832e-03, 'S1y':-8.6493949999598228e-03, 'S1z':-1.3332526293306749e-02, 'S2x':4.9380126962162742e-03, 'S2y':-5.1202309075104608e-03, 'S2z':6.6679078023435664e-03,'Hreal':9.9527779985982789e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-6.7440288473289591e+00, 'y':2.1614626099291929e+01, 'z':-2.6935558263153320e-03, 'p1':-2.1510739897529485e-01, 'p2':-6.7388869835332377e-02, 'p3':-1.9521682197691772e-04, 'S1x':4.9125513138670316e-03, 'S1y':-8.6403330661766701e-03, 'S1z':-1.3332467662459473e-02, 'S2x':4.9548089863698935e-03, 'S2y':-5.1038102793360797e-03, 'S2z':6.6680369626972331e-03,'Hreal':9.9527745894196495e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-8.1950232157108580e+00, 'y':2.1105336125890929e+01, 'z':-3.7685345541979575e-03, 'p1':-2.1004676743928882e-01, 'p2':-8.1837171218427124e-02, 'p3':-2.0124772455271543e-04, 'S1x':4.9294369284407814e-03, 'S1y':-8.6307925150542544e-03, 'S1z':-1.3332414710283028e-02, 'S2x':4.9723465277572172e-03, 'S2y':-5.0865632432749077e-03, 'S2z':6.6681611239396872e-03,'Hreal':9.9527710169266759e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-9.6668679538389739e+00, 'y':2.0471003503034396e+01, 'z':-4.9883278178788539e-03, 'p1':-2.0374055963519197e-01, 'p2':-9.6495664216440846e-02, 'p3':-2.0689712003949784e-04, 'S1x':4.9470186377648384e-03, 'S1y':-8.6207969064490148e-03, 'S1z':-1.3332369525771534e-02, 'S2x':4.9905648295361657e-03, 'S2y':-5.0685380432167158e-03, 'S2z':6.6682766275405940e-03,'Hreal':9.9527672921841992e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.1144156324023326e+01, 'y':1.9703605638850494e+01, 'z':-6.3585675965536189e-03, 'p1':-1.9610843724767996e-01, 'p2':-1.1121108745381582e-01, 'p3':-2.1196033836296544e-04, 'S1x':4.9652595479242837e-03, 'S1y':-8.6103586177233953e-03, 'S1z':-1.3332334078183301e-02, 'S2x':5.0094257471926164e-03, 'S2y':-5.0497615817469916e-03, 'S2z':6.6683798666244843e-03,'Hreal':9.9527634218705119e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.2611347429591202e+01, 'y':1.8795999111780450e+01, 'z':-7.8837013581185850e-03, 'p1':-1.8707877295384720e-01, 'p2':-1.2582877366004616e-01, 'p3':-2.1621440479147660e-04, 'S1x':4.9841381957127983e-03, 'S1y':-8.5994814662412686e-03, 'S1z':-1.3332310183690646e-02, 'S2x':5.0289081719313775e-03, 'S2y':-5.0302439824067950e-03, 'S2z':6.6684673254391747e-03,'Hreal':9.9527594092956229e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.4052694204995497e+01, 'y':1.7741653216003719e+01, 'z':-9.5670228778282282e-03, 'p1':-1.7658599875060352e-01, 'p2':-1.4019193152210238e-01, 'p3':-2.1941567344184546e-04, 'S1x':5.0036498141660677e-03, 'S1y':-8.5881598538613945e-03, 'S1z':-1.3332299454259011e-02, 'S2x':5.0490090420287998e-03, 'S2y':-5.0099768690571771e-03, 'S2z':6.6685356608259961e-03,'Hreal':9.9527552541163311e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.5451750649699138e+01, 'y':1.6534632965825907e+01, 'z':-1.1410259183896080e-02, 'p1':-1.6457043448038669e-01, 'p2':-1.5413673384560689e-01, 'p3':-2.2129541172520296e-04, 'S1x':5.0238032334234493e-03, 'S1y':-8.5763804167586534e-03, 'S1z':-1.3332303247945548e-02, 'S2x':5.0697398314291445e-03, 'S2y':-4.9889361223918053e-03, 'S2z':6.6685817684850462e-03,'Hreal':9.9527509529763980e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.6783190224971321e+01, 'y':1.5178251600009219e+01, 'z':-1.3400677210901601e-02, 'p1':-1.5106445304331306e-01, 'p2':-1.6741073569044049e-01, 'p3':-2.2155938909578562e-04, 'S1x':5.0444931903197822e-03, 'S1y':-8.5641973798397247e-03, 'S1z':-1.3332322437153927e-02, 'S2x':5.0909951159882980e-03, 'S2y':-4.9672158560311345e-03, 'S2z':6.6686028344173113e-03,'Hreal':9.9527465268390181e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.7996167636258374e+01, 'y':1.3714861235752764e+01, 'z':-1.5471387503915038e-02, 'p1':-1.3648933037733718e-01, 'p2':-1.7950681746897612e-01, 'p3':-2.1998785191315373e-04, 'S1x':5.0651402676457581e-03, 'S1y':-8.5519496508643673e-03, 'S1z':-1.3332356172650290e-02, 'S2x':5.1121835278096807e-03, 'S2y':-4.9454134362576611e-03, 'S2z':6.6685975974759724e-03,'Hreal':9.9527420986840132e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-1.9082096309720399e+01, 'y':1.2154763442435462e+01, 'z':-1.7605029943010168e-02, 'p1':-1.2094739379680634e-01, 'p2':-1.9033897520552095e-01, 'p3':-2.1645148556768092e-04, 'S1x':5.0857423538162244e-03, 'S1y':-8.5396406615517746e-03, 'S1z':-1.3332403082655474e-02, 'S2x':5.1333068240222044e-03, 'S2y':-4.9235252605954981e-03, 'S2z':6.6685671964283244e-03,'Hreal':9.9527376685261559e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.0033282237781204e+01, 'y':1.0508947774760056e+01, 'z':-1.9782673700919802e-02, 'p1':-1.0454788092601389e-01, 'p2':-1.9983006527524280e-01, 'p3':-2.1083739252784374e-04, 'S1x':5.1062979181126641e-03, 'S1y':-8.5272741183642590e-03, 'S1z':-1.3332461421581576e-02, 'S2x':5.1543660820456061e-03, 'S2y':-4.9015474105795634e-03, 'S2z':6.6685134526834151e-03,'Hreal':9.9527332363712906e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.0745307967743823e+01, 'y':9.0178157604213034e+00, 'z':-2.1695395162730783e-02, 'p1':-8.9686725483699339e-02, 'p2':-2.0693723238624459e-01, 'p3':-2.0419585989766775e-04, 'S1x':5.1241257644948851e-03, 'S1y':-8.5164817028080143e-03, 'S1z':-1.3332519808032309e-02, 'S2x':5.1726185168390710e-03, 'S2y':-4.8823687937236855e-03, 'S2z':6.6684496725875038e-03,'Hreal':9.9527293824746743e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1346608112356773e+01, 'y':7.4786280303168322e+00, 'z':-2.3611881337979163e-02, 'p1':-7.4343859290003020e-02, 'p2':-2.1294154041358437e-01, 'p3':-1.9586255209699810e-04, 'S1x':5.1419175597092201e-03, 'S1y':-8.5056513381586828e-03, 'S1z':-1.3332583733058703e-02, 'S2x':5.1908226286937276e-03, 'S2y':-4.8631165629541510e-03, 'S2z':6.6683720747310240e-03,'Hreal':9.9527255270887782e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.1833951693864094e+01, 'y':5.8995900330391091e+00, 'z':-2.5517392682766007e-02, 'p1':-5.8600979918172411e-02, 'p2':-2.1781044105263694e-01, 'p3':-1.8579918417389716e-04, 'S1x':5.1596734650852169e-03, 'S1y':-8.4947856119220073e-03, 'S1z':-1.3332651537385835e-02, 'S2x':5.2089777649675780e-03, 'S2y':-4.8437879766289700e-03, 'S2z':6.6682829181141448e-03,'Hreal':9.9527216702230192e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2165301307203176e+01, 'y':4.4894663371655605e+00, 'z':-2.7166487232441545e-02, 'p1':-4.4539874075062172e-02, 'p2':-2.2112317272655427e-01, 'p3':-1.7553557447736227e-04, 'S1x':5.1752069832717053e-03, 'S1y':-8.4852349758944880e-03, 'S1z':-1.3332712775737979e-02, 'S2x':5.2248491964186601e-03, 'S2y':-4.8267820379934556e-03, 'S2z':6.6681972396484034e-03,'Hreal':9.9527182885665078e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2405708733303189e+01, 'y':3.0609770769816089e+00, 'z':-2.8784909045696177e-02, 'p1':-3.0293496937592236e-02, 'p2':-2.2352927868529604e-01, 'p3':-1.6391387640502181e-04, 'S1x':5.1907139031690183e-03, 'S1y':-8.4756607453197186e-03, 'S1z':-1.3332774429272545e-02, 'S2x':5.2406812034465405e-03, 'S2y':-4.8097136842904925e-03, 'S2z':6.6681064173760105e-03,'Hreal':9.9527149057804765e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2539843303869350e+01, 'y':1.8110134774001940e+00, 'z':-3.0156191757747312e-02, 'p1':-1.7825831832189314e-02, 'p2':-2.2487449310846708e-01, 'p3':-1.5272709070489180e-04, 'S1x':5.2041495612112293e-03, 'S1y':-8.4673344759364708e-03, 'S1z':-1.3332827310564337e-02, 'S2x':5.2543870467332086e-03, 'S2y':-4.7948502564646523e-03, 'S2z':6.6680249081463496e-03,'Hreal':9.9527119693521815e-01}
{'m1':2.0000000000000000e+01, 'm2':1.0000000000000000e+01, 'tortoise':1, 'x':-2.2604309200341469e+01, 'y':5.5549233952050137e-01, 'z':-3.1489231305609357e-02, 'p1':-5.3011278916155081e-03, 'p2':-2.2552482788761918e-01, 'p3':-1.4052087633397681e-04, 'S1x':5.2175663858301099e-03, 'S1y':-8.4589925317228622e-03, 'S1z':-1.3332878767688480e-02, 'S2x':5.2680613732690217e-03, 'S2y':-4.7799376595726358e-03, 'S2z':6.6679422412408481e-03,'Hreal':9.9527090320771094e-01}
